id,first_visit,which_programs/balik,which_programs/wood,which_programs/sketch,which_programs/harvesting,which_programs/corporate,which_programs/other,program_specify,reasons,gender,age,race,race_specify,social_cohesion_1,social_cohesion_2,social_cohesion_3,social_cohesion_4_rev,social_cohesion_5_rev,soc_1,soc_2,soc_3,soc_4,soc_5,soc_6,soc_7,soc_8,cns_1,cns_2,cns_3,cns_4,cns_5,cns_6,cns_7,cns_8,cns_9,cns_10,imi_1,imi_2,imi_3_rev,imi_4,imi_5,imi_6,imi_7,imi_8,self_est_1,self_est_2_rev,self_est_3,self_est_4_rev,self_eff_1,self_eff_2,self_eff_3,self_eff_4,self_eff_5,self_eff_6,self_eff_7,self_eff_8,social_cohesion_4_rev_coded,social_cohesion_5_rev_coded,cns_4_rev_coded,self_est_2_rev_coded,self_est_4_rev_coded,imi_3_rev_coded,imi_4_rev_coded,commitment,frequency_visits,balik,corporate,wood,sketch,harvesting,others,number_programs,program_percent,SoCoh,SOC,CNS,IMI,Self_Est,Self_Eff,IM,PComp,PChoice,RC1,RC2,clusters
1,2008-08-01,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Balik kampung,To be ground up,Male,58,1,0,6,6,6,1,2,5,5,6,7,6,6,6,5,5,5,5,6,5,5,5,6,4,4,5,6,3,1,6,6,5,6,6,4,5,4,5,5,4,4,5,5,6,4,7,6,2,4,4,5,7,136,20,1,1,0,0,1,1,4,0.6666666666666666,6.2,5.75,4.6000000000000005,5.75,4.75,4.75,6,6,5,3.5722624612319107,-0.23262925644654253,2
2,2010-09-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Earth day celebration and Chinese Herbs talk,Novel activity,Female,31,1,0,5,5,5,2,4,0,6,4,3,3,4,4,4,6,6,6,2,5,6,5,5,6,6,6,5,2,4,5,5,6,4,6,2,5,1,6,5,6,6,6,6,5,5,6,4,6,6,7,6,4,111.00000000000003,2,0,0,0,0,0,1,1,0.16666666666666666,5,3.5,5.7,5.125,6,5.625,5,4.5,6,1.2937617854567878,-0.22345046788288675,2
3,2011-03-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,A place to experience new things & meet friends,Female,55,1,0,6,6,5,2,6,5,5,6,6,5,5,6,6,6,6,6,2,6,6,6,0,6,6,5,5,4,2,6,6,6,5,6,5,4,4,5,5,5,5,5,5,4,5,6,2,6,3,4,4,6,105.00000000000003,20,1,0,0,0,0,0,1,0.16666666666666666,5,5.5,5.4,5.375,4.25,4.875,6,5,4.5,1.1227803035673944,0.21369686024245604,2
4,2011-06-01,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Farmer's Market,old friends / kid activities,Female,39,1,0,7,7,7,1,1,4,4,4,4,2,5,4,4,3,4,6,3,7,4,1,5,4,3,4,4,1,1,6,4,7,4,4,4,7,1,4,5,5,5,5,6,7,5,7,7,5,4,7,7,7,104,2,1,0,0,0,0,1,2,0.3333333333333333,7,3.875,4.2,5.375,5.5,5.25,6,4,5.5,1.763323351645763,-0.3938365012029536,2
5,2011-12-01,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Like GUI,Female,37,1,0,6,5,5,5,2,6,6,6,6,5,6,6,6,5,4,5,3,4,5,4,6,4,4,6,5,1,1,5,6,6,4,6,5,5,2,5,5,5,4,5,5,4,4,3,6,5,3,6,7,7,96.00000000000003,50,1,0,1,0,0,0,2,0.3333333333333333,5,5.875,4.6000000000000005,5.75,5,4.625,6,4.5,6.5,1.4674954192890617,0.7818638584037865,2
6,2013-01-01,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Attended as paid participant - TCM, plant talk. Supported as volunteer - farm program, earth over, touchwood program",Loving community,Female,25,1,0,7,6,7,1,2,7,7,7,7,6,5,7,7,7,7,7,1,6,7,4,6,6,7,6,7,2,1,7,7,6,7,6,2,4,1,4,4,4,4,4,4,4,4,7,6,7,6,7,6,7,83.00000000000001,25,1,0,1,0,1,1,4,0.6666666666666666,6.6000000000000005,6.625,6.4,6.625,5.75,4,6.75,7,6,2.4973137032218524,-0.1752002470768859,2
7,2013-01-01,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Pesta Kampung, a wedding",Felt at peace and act locally to combat the global change to our climate,Male,33,4,0,7,6,7,1,1,6,6,7,6,5,7,7,7,7,7,6,2,7,6,5,7,7,6,7,7,1,1,7,7,7,7,6,1,4,4,5,6,5,7,6,6,6,6,7,7,6,7,4,7,7,83.00000000000001,50,1,1,1,0,1,1,5,0.8333333333333334,6.800000000000001,6.375,6.4,7,5.25,5.875,7,7,7,3.0363028038710023,0.28067990971607865,2
8,2014-05-01,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,"Help promote GUI, wanted to do something purposeful on a sat morning",Female,31,1,0,7,6,6,3,3,5,5,6,6,5,5,6,6,5,7,6,3,6,4,4,5,6,6,7,5,3,2,5,4,5,6,6,3,7,2,6,5,5,5,5,6,5,6,5,5,5,5,6,5,6,67,8,1,0,0,1,0,0,2,0.3333333333333333,5.800000000000001,5.5,5.4,5.375,6,5.375,5,5.5,6,1.0057927730336131,-0.29175763697832774,2
9,2014-06-01,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"weeding, interned at GUILD, balik kampung, vegan festival",community & friendship & manual labour,Female,24,1,0,7,7,7,1,1,6,6,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,6,2,2,7,6,7,7,7,2,7,2,7,7,7,7,7,7,7,7,7,7,3,6,6,6,6,67,4,1,0,0,0,1,1,3,0.5,7,6.75,6.6000000000000005,6.5,6.5,7,6.5,6.5,6.5,1.6267704600142001,-0.5522224971748996,2
10,2014-06-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,educational authentic learning in a natural environment,Female,54,1,0,7,7,7,1,1,7,7,7,6,7,7,7,6,5,5,7,1,6,6,6,6,6,6,7,7,1,1,7,7,7,7,6,1,4,1,6,7,7,6,6,6,6,6,7,7,7,7,7,7,7,67,2,1,0,0,0,0,0,1,0.16666666666666666,7,6.75,6,7,6,6.25,7,7,7,0.41308701237421125,-0.27830829988159606,1
11,2014-09-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0,i love nature and want to help,Female,34,1,0,7,7,7,1,1,5,5,5,5,2,5,7,7,6,7,7,6,7,6,6,7,7,7,7,3,5,1,7,7,7,7,7,2,7,6,6,6,6,6,7,5,7,7,7,7,2,6,2,3,7,63.00000000000002,50,1,1,1,0,1,0,4,0.6666666666666666,7,5.125,6.2,6,5.5,6.25,7,5,5,2.026327172381355,0.4174031824914829,2
12,2014-09-01,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0,Community spirit,Female,33,1,0,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,4,2,7,7,7,7,7,3,3,2,6,6,6,6,6,7,7,7,7,7,6,5,6,4,6,63.00000000000002,100,1,1,1,0,1,0,4,0.6666666666666666,7,7,6.9,6.5,5.25,6.375,6.75,7,5.5,1.8849675407754298,1.6524807979906835,2
13,2014-10-01,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Been part of the GUI and then WOW team to create and deliver programmes,"Work, support their philosophy",Female,33,2,0,6,6,6,1,3,6,7,7,6,4,5,6,6,7,7,7,3,5,6,5,7,7,7,6,6,4,1,6,5,5,6,5,4,5,6,5,7,6,6,6,5,5,6,7,5,5,4,2,4,7,62.000000000000014,300,1,0,0,0,0,1,2,0.3333333333333333,6,5.875,6.300000000000001,5.625,4,5.75,5.75,6,5,0.0801758456956263,6.9148617929916965,3
14,2015-06-01,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,I wish to contribute back to the community and I have interest in the activities,Male,27,1,0,6,5,7,3,2,6,6,6,6,4,6,6,6,3,3,5,5,4,3,4,2,4,4,7,5,1,1,6,5,5,5,5,4,4,4,5,5,5,5,4,3,3,3,5,6,3,4,4,7,7,54.00000000000002,15,1,0,1,0,0,0,2,0.3333333333333333,5.800000000000001,5.75,3.5,5.875,4.25,4.125,5.75,5,7,0.7258030598343865,-0.1350547666262401,2
15,2015-07-01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,A way to connect with nature and community,Female,30,1,0,6,5,5,4,3,5,5,5,5,5,5,5,5,6,6,6,2,6,6,6,6,5,6,5,5,3,2,5,5,5,6,6,5,5,4,5,5,5,5,5,6,6,6,4,5,6,3,4,5,6,54,8,1,0,0,0,1,0,2,0.3333333333333333,5,5,5.9,5.25,4.5,5.375,5.25,5.5,5,0.7455934082592157,-0.3079656327961282,2
16,2015-11-01,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0,The space and people.,Female,27,4,0,7,6,6,1,1,6,6,7,7,5,6,7,6,6,6,6,3,6,7,7,6,6,6,6,6,1,1,6,6,6,6,7,1,5,2,6,6,6,6,6,6,5,5,7,7,5,7,6,7,7,49.00000000000001,24,1,1,1,0,0,0,3,0.5,6.6000000000000005,6.25,6.1000000000000005,6.25,6.25,5.75,6.25,6,6.5,1.2099505638380488,-0.08063329133832765,2
17,2015-12-01,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Balik Kampung, brick making, weekday farming, kitchen help",Sense of purpose and community,Female,18,1,0,7,7,7,1,1,7,7,7,7,7,7,7,7,5,6,6,5,5,5,5,5,5,4,7,7,1,1,7,7,7,7,7,5,5,5,7,7,7,6,7,7,6,6,7,7,3,3,3,7,7,48.00000000000002,3,1,0,0,0,0,1,2,0.3333333333333333,7,7,4.9,7,4.5,6.625,7,7,7,0.6396373569085483,-0.4389540078004177,2
18,2015-12-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,To volunteer for something I'm interested in,Female,23,1,0,7,5,4,1,3,4,4,3,3,2,3,3,3,4,6,5,5,5,5,3,5,2,3,6,5,2,1,6,0,6,4,6,2,6,2,6,6,6,6,6,6,6,5,7,5,3,6,6,6,7,48.00000000000002,3,1,0,0,0,0,0,1,0.16666666666666666,5.6000000000000005,3.125,4.1000000000000005,5,6,5.875,4.75,4.5,6,0.029968440456435375,-0.2772953568437819,1
19,2016-01-01,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Ground Up Troopers,It is meaningful and enriching. It teaches important values and I got to meet a lot of new people,Male,27,1,0,7,7,7,1,1,6,6,7,7,6,6,6,6,4,7,7,6,7,7,7,3,6,5,6,5,2,1,7,5,6,5,5,4,5,4,3,4,5,4,4,6,4,6,7,7,2,4,4,6,7,48,20,1,0,1,0,1,1,4,0.6666666666666666,7,6.25,5.5,5.875,4.5,4.5,6.25,5,6,1.8109129150667589,-0.3423449204439611,2
20,2016-03-01,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,GUTS Apprenticeship,"Interest in activities, eventually drawn in by the community",Female,22,1,0,7,6,7,1,2,6,6,5,4,5,5,5,4,5,7,7,5,7,7,4,5,5,5,5,5,2,2,7,7,7,5,5,6,6,4,5,6,6,5,5,6,5,6,7,6,3,2,4,6,6,45,1,1,0,0,0,1,1,3,0.5,6.6000000000000005,5,5.5,6,4.25,5.5,6.75,5,5.5,1.1949146513692677,-0.6537560701042062,2
21,2016-03-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Help out at the kampung e.g. giving kampung tours, host film screenings",Female,27,1,0,7,7,7,1,2,5,5,6,5,5,6,6,6,7,7,7,2,7,7,6,6,7,6,5,5,2,2,6,6,5,5,3,5,6,5,5,5,5,5,5,5,5,5,7,6,6,3,3,6,6,45,15,1,0,0,0,0,0,1,0.16666666666666666,6.800000000000001,5.5,6.6000000000000005,5.5,3.75,5,5.75,5,5.5,-0.06400387838461724,0.0153829641488415,1
22,2016-06-01,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Farming,Farming,Female,54,1,0,6,5,6,3,3,6,6,5,5,5,5,5,6,5,5,7,4,6,5,4,5,5,5,6,5,3,3,5,5,5,4,5,2,5,2,5,5,5,5,5,5,4,4,5,5,4,6,6,5,5,42,40,0,0,1,0,1,1,3,0.5,5.4,5.375,5.1000000000000005,5,5.5,4.75,5,4.5,5.5,1.0246081314610156,0.3058641632579855,2
23,2016-07-01,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"Woodworking, STANLEY, micron, etc",Woodworking,Male,66,1,0,6,6,6,2,2,4,6,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,2,4,5,5,5,6,6,2,6,2,6,6,6,6,6,5,5,6,6,6,4,6,6,6,4,41.000000000000014,50,0,1,1,0,0,1,3,0.5,6,4.125,4,5.25,6,5.75,4.75,6,5.5,0.9763208693879541,0.551632917448764,2
24,2016-10-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,connect to nature by working on it,Female,27,1,0,6,6,6,1,1,5,5,4,4,4,5,4,4,6,6,7,3,3,5,4,5,4,5,5,5,3,1,7,7,7,5,6,2,6,2,5,5,5,5,5,5,5,5,7,7,5,6,6,5,7,38.000000000000014,1,1,0,0,0,0,0,1,0.16666666666666666,6.4,4.375,5,6,6,5,7,5,5,-0.16453053179809501,-0.3391661505543657,1
25,2016-11-01,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,To learn new skills and meet new people,Female,31,1,0,6,6,5,2,2,6,7,7,7,6,5,6,6,5,5,5,1,5,5,4,5,5,4,6,6,1,2,6,6,6,7,6,1,4,2,4,5,5,6,5,6,6,6,6,6,7,7,6,7,6,37.00000000000003,52,1,0,0,1,1,0,3,0.5,5.800000000000001,6.25,5,6.25,5.75,5.375,6,6.5,6.5,0.8906051411162105,0.5960489464324858,2
26,2016-12-01,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,farmer’s market,"to support GUI, because of its community building aim",Female,18,1,0,7,5,5,1,3,5,5,4,4,4,5,4,4,7,7,7,1,7,7,1,5,7,7,6,6,1,1,7,6,5,4,6,1,5,4,6,7,7,7,7,7,4,6,7,5,7,7,4,7,7,36,1,1,1,0,0,0,1,3,0.5,5.800000000000001,4.375,6.2,6,5.5,6.375,6.25,5,6.5,1.014776629602377,-0.6649769902857604,2
27,2016-12-01,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Camp Twilight,Support the movement and meaningful presence of GUI,Male,29,1,0,6,5,6,3,4,6,4,5,6,6,6,6,6,7,7,7,3,7,7,7,7,7,7,6,6,1,1,7,5,5,6,7,4,4,3,5,5,5,5,5,6,4,6,5,4,5,4,5,7,7,36,8,0,0,1,0,1,1,3,0.5,5.2,5.625,6.800000000000001,6.125,5,5.125,6,6,6.5,0.9949862811775475,-0.4920661241158724,2
28,2017-01-01,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"Cooking, farming, rice planting, school camp, garden project","The community,nature and interests in farming",Male,36,1,0,7,7,7,1,1,5,5,5,4,4,5,5,5,3,4,6,5,4,3,4,6,4,3,5,4,2,3,5,5,5,4,3,4,4,3,4,4,4,4,4,4,4,5,7,7,3,4,5,6,5,35.000000000000014,20,1,0,0,0,1,1,3,0.5,7,4.75,4,4.875,4,4.125,5,4,5.5,0.941044633840249,-0.19689426530512574,2
29,2017-01-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Farming volunteer,Back to nature,Female,40,1,0,6,6,6,2,2,6,6,6,6,6,0,6,6,6,6,5,2,6,6,6,5,5,6,6,6,1,1,6,6,6,6,6,2,6,1,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,35.000000000000014,45,0,0,0,0,0,1,1,0.16666666666666666,6,5.25,5.7,6.25,6.25,6,6.25,6,6.5,-0.3489730148669393,0.7439618443577463,4
30,2017-02-01,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,Wanted to experience something completely different from the environments I was familiar with,Female,19,1,0,7,6,6,2,4,6,6,7,5,3,6,7,6,7,7,7,3,7,6,7,7,7,7,5,4,2,2,7,6,7,5,5,7,6,7,6,6,6,5,5,5,4,5,6,4,5,1,1,6,6,34.00000000000003,20,1,1,0,0,1,0,3,0.5,5.800000000000001,5.75,6.7,5.75,3.25,5.25,6.5,4.5,5.5,0.9210292980883725,-0.1981410342141873,2
31,2017-03-01,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,Helping out when they need the manpower,Female,21,1,0,7,7,7,1,2,7,7,7,7,7,7,7,7,3,3,7,5,7,2,5,6,7,6,7,3,1,1,7,7,7,6,1,7,1,7,1,1,1,1,1,1,1,1,7,6,3,1,1,7,7,33,70,0,0,1,0,1,0,2,0.3333333333333333,6.800000000000001,7,4.9,6.375,1,1,7,4.5,7,0.14998541427845713,1.1973484633325873,4
32,2017-03-01,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Kampung Kiddies, children woodwork, wild camp, harvesting, children camp etc","The basic of living, most of the nature is kept unmanicured and as natural as possible, giving us the freedom of failing and getting up again without overprotecting",Female,46,1,0,7,7,7,1,1,6,6,5,5,5,5,5,6,6,7,7,2,7,7,7,7,7,7,5,5,2,1,6,6,6,5,7,1,5,1,6,7,7,7,7,6,4,7,7,7,6,7,7,6,7,33,30,1,0,1,0,1,1,4,0.6666666666666666,7,5.375,6.800000000000001,5.75,6.5,6.375,6.25,5,5.5,1.482410952467423,-0.11403093098004458,2
33,2017-04-01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Help as facilitator or participate in Touchwood workshops,Female,58,1,0,6,5,5,4,3,5,5,4,4,4,5,5,5,6,6,6,4,6,6,5,6,6,6,6,5,3,4,6,5,5,5,5,4,5,4,5,5,6,6,6,6,5,5,4,5,4,4,4,5,4,33,40,0,0,1,0,0,0,1,0.16666666666666666,5,4.625,5.7,5.125,4.5,5.5,5,5,5.5,-0.37486772321010053,0.6179605449897029,4
